word_list,alternative_list
Absender,abgesandt durch
Absolventen,Abschluss inhabende Person
Absolventen,Person mit Abschluss
Absolventenpraktikum,Praktikumsnach Studienabschluss
Abteilungsleiter,Abteilungsleitung
Abteilungsleiter,Abteilungsleitungen
Abteilungsleiter,Abteilungsleitende
Abteilungsleitertreffen,Treffen der Abteilungsleitungen
Administrator,Administration
Administrator,Admin
Adressat,adressierte Person
Agent,auskundschaftende Person
Agent,spionierende Person
Akademiker,Studierte
Akteure,Beteiligte
Akteure,Agierende
Akteure,Handelnde
Akteure,Aktive
Aktionär,Person mit Aktienbesitz
Aktionäre,Aktienhabende
Aktionäre,Anteilshabende
Aktionärsversammlung,Versammlung von Personen mit Aktienbesitz
Alkoholiker,alkoholsüchtige Person
Alkoholiker,Person mit Alkoholsucht
Alkoholiker,Alkoholsüchtige
Alkoholiker,Menschen mit Alkoholsucht
Altenpfleger,Pflegefachkraft
Ampelmännchen,Ampelfiguren
Ampelmännchen,Ampelfigürchen
Ampelmännchen,Ampelmenschlein
Anbieter,Angebot
Anbieter,Herstellung
Anbieter,angebotsstellende Person
Anbieter,angebotsmachende Person
andere,Gegenüber
der ein oder andere,"die eine oder der andere"
Anfänger,Unerfahrene
Anfänger,Menschen ohne Vorkenntnisse
Anfänger,Menschen ohne Vorerfahrung
Anfänger,Beginnende
Anfängerkurs,Einstiegskurs
Anfängerkurs,Grundkurs
Anfängerkurs,Kurs für Menschen ohne Vorkenntnisse
Anfängerkurs,Kurs für Menschen ohne Vorerfahrung
Angehöriger,Familienmitglied
Angeklagter,angeklagte Person
Anhänger,Fans
Anhänger,Begeisterte
Anhänger,Gleichgesinnte
Anhänger,Unterstützende
Anhänger,Sympathisierende
Anhänger,sichs Zuordnende
Animateur,Freizeitbetreuungsperson
Animateure,Animierende
Anleger,Anlegende
Anleiter,anleitende Person
Ansprechpartner,Ansprechperson
Ansprechpartner,Kontakt
Ansprechpartner,Auskunft gibt
Antragsteller,beantragende Person
Antragsteller,beantragende Einrichtung
Antragsteller,"die Person, die einen Antrag stellt"
Antragsteller,die antragstellende Person
Antragsteller,Antrag gestellt von
Anwalt,Rechtsbeistand
Anwaltskosten,Kosten für die Rechtsvertretung
Anwender,Nutzende
Anwender,Anwendende
Anwender,"Personen, die anwenden"
Anwender,Anwendung
anwenderbezogen,anwendungsbezogen
anwenderbezogen,praxisbezogen
Anwohner,"alle, die in dieser Straße wohnen"
Anwohner,Anwohnende
Anwohner,Nachbarschaft
Apotheker,Arzneikundige
Arbeiter,Arbeitskraft
Arbeiter,Erwerbstätige
Arbeiter,Belegschaft
Arbeiter,Beschäftigte
Arbeitgeber,Führungskraft
Arbeitgeber,Arbeitgebende
Arbeitgeber,Betriebe
Arbeitgeber,Unternehmen
Arbeitnehmer,angestellte Person
Arbeitnehmer,beschäftigte Person
Arbeitnehmer,Beschäftigte
Arbeitnehmer,Arbeitskräfte
Arbeitnehmer,Belegschaft
Arbeitnehmer,Personal
Architekten,Architekturschaffende
Arzt,Person im ärztlichen Dienst
Arzt,ärztliches Fachpersonal
Ärzte,ärztliches Personal
Hilfe eines Arztes,ärztliche Hilfe
Rat des Arztes,ärztlicher Rat
Arztbesuch,ärztlicher Kontakt
Arztbesuch,ärztliche Sprechstunde
Arztbesuch,Besuch der ärztlichen Sprechstunde
Arztbesuch,ärztliche Visite
Arztbrief,Entlassungsbrief
Arztbrief,Entlassbericht
Arztbrief,ärztlicher Befundbericht
Arztbrief,medizinischer Befundbericht
Arztbrief,ärztliches Informationsschreiben
Arztbrief,ärztliche Information
Arztgeheimnis,ärztliche Schweigepflicht
Arzthelferinnen,Medizinische Fachangestellte
Arztkoffer,Behandlungstasche
Arztköfferchen,Behandlungstasche
Arztkoffer,Medizinkoffer
Arztköfferchen,Medizinköfferchen
Arztkosten,Behandlungskosten
Arzt-Patienten-Verhältnis,ärztliches Vertrauendverhältnis
Arzt-Patienten-Verhältnis,medizinisches Behandlungsverhältnis
Arztpraxis,ärztliche Praxis
Arzttermin,Behandlungstermin
Arzttermin,Vorsorgetermin
Arztwahl,Wahl des ärztlichen Fachpersonals
Assistent,Assistenz
Assistenzarzt,Person in fachärztlicher Weiterbildung
Assistenzarzt,ärztliches Fachpersonal in Weiterbildung
Asylbewerber,Asylsuchende
Asylbewerber,Personen im Asylverfahren
Athlet,sporttreibende Person
Athleten,Sporttreibende
Athleten,Wettkämpfende
Attentäter,"Person, die ein Attentat verübt"
Auftraggeber,Auftraggebende
Auftraggeber,auftraggebende Personen
Auftraggeber,in Auftrag gegeben von
Auftraggeber,beauftragt von
Auftragnehmer,einen Auftrag entgegen nehmende Person
Auftragnehmer,einen Auftrag annehmende Person
Augenoptiker,Optikfachgeschäft
Ausländer,Person aus dem Ausland
Ausländer,Person nichtdeutscher Herkunft
Ausländer,ausländische Person
Ausländer,Person mit anderer Staatsangehörigkeit
Ausländerbehörde,Migrationsamt
Ausländerbehörde,Migrationsstelle
Ausländerbehörde,Zuwanderungsamt
Ausländerbehörde,Zuwanderungsstelle
Aussiedler,ausgesiedelte Person
Aussiedler,ausgesiedelte Personen
Aussteller,ausstellende Person
Aussteller,ausstellende Institution
Aussteller,Präsentierende
Ausstellerausweis,Ausweis der Ausstellenden
Ausstellerausweis,Ausweis der ausstellenden Person
Ausstellerliste,Liste der Ausstellenden
Ausstellerliste,Ausstellendenliste
Auszubildender,Nachwuchskraft
Auszubildender,Person in Ausbildung
Auszubildender,auszubildende Person
Auszubildender,lernende Person
Autor,bücherschreibende Person
Autoren,Autorenschaft
Autoren,Urheberrechtsinhabende
Autoren,Verfassende
Autoren,Schreibende
Autoren,Literaturschaffende
Babysitter,Aufsichtsperson
Babysitter,babysittende Person
Babysitter,Babysittende
Bäcker,Backwaren produzierende Person
Bäcker,Gebäck herstellende Person
Bäcker,Backende
Bäcker,im Backgewerbe Tätige
Bäcker,professionell Backende
Bankräuber,Bankausraubende
Bauarbeiter,Bauarbeiten ausführendes Personal
Bauern,Landwirtschaft Betreibende
Bauern,landwirtschaftlich Beschäftigte
Bauern,Beschäftigte in der Landwirtschaft
Bauherr,den Bau in Auftrag gebende Person
Bauherren,Bauende
Angebot für private Bauherren,Angebot für privat Bauende
Beamter,verbeamtete Person
Beamter,Person im Beamtenstatus
Beamter,der/die Beamte
Beamtenlaufbahn,verbeamteter Werdegang
Beamtenlaufbahn,Laufbahn im öffentlichen Dienst mit Aussicht auf Verbeamtung
